defense_type,num_queries,true_positive_rate
1,1,0.3
1,2,0.3
1,3,0.3
1,4,0.15
1,5,0.1
1,6,0.35
1,7,0.45
1,8,0.15
1,9,0.2
1,10,0.3
1,11,0.25
1,12,0.15
1,13,0.25
1,14,0.1
1,15,0.2
1,16,0.25
1,17,0.4
1,18,0.1
1,19,0.15
1,20,0.3
1,21,0.2
1,22,0.2
1,23,0.15
1,24,0.25
1,25,0.3
1,26,0.1
1,27,0.1
1,28,0.05
1,29,0.15
1,30,0.15
1,31,0.3
1,32,0.2
1,33,0.3
1,34,0.25
1,35,0.1
1,36,0.3
1,37,0.3
1,38,0.35
1,39,0.3
1,40,0.2
1,41,0.25
1,42,0.25
1,43,0.1
1,44,0.15
1,45,0.25
1,46,0.3
1,47,0.1
1,48,0.2
1,49,0.15
1,50,0.15
1,51,0.05
1,52,0.3
1,53,0.25
1,54,0.2
1,55,0.25
1,56,0.1
1,57,0.2
1,58,0.35
1,59,0.2
1,60,0.05
1,61,0.3
1,62,0.15
1,63,0.25
1,64,0.2
1,65,0.15
1,66,0.2
1,67,0.35
1,68,0.1
1,69,0.25
1,70,0.2
1,71,0.25
1,72,0.3
1,73,0.25
1,74,0.2
1,75,0.2
1,76,0.15
1,77,0.25
1,78,0.1
1,79,0.35
1,80,0.4
1,81,0.1
1,82,0.25
1,83,0.2
1,84,0.2
1,85,0.05
1,86,0.25
1,87,0.05
1,88,0.2
1,89,0.15
1,90,0.2
1,91,0.2
1,92,0.1
1,93,0.25
1,94,0.4
1,95,0.45
1,96,0.05
1,97,0.25
1,98,0.1
1,99,0.25
1,100,0.05
1,101,0.3
1,102,0.1
1,103,0.2
1,104,0.25
1,105,0.1
1,106,0.1
1,107,0.35
1,108,0.15
1,109,0.25
1,110,0.25
1,111,0.2
1,112,0.45
1,113,0.3
1,114,0.1
1,115,0.25
1,116,0.2
1,117,0.15
1,118,0.25
1,119,0.15
1,120,0.25
1,121,0.25
1,122,0.3
1,123,0.1
1,124,0.3
1,125,0.2
1,126,0.15
1,127,0.25
1,128,0.35
1,129,0.1
1,130,0.15
1,131,0.25
1,132,0.1
1,133,0.2
1,134,0.25
1,135,0.4
1,136,0.25
1,137,0.3
1,138,0.35
1,139,0.25
1,140,0.1
1,141,0.15
1,142,0.15
1,143,0.05
1,144,0.15
1,145,0.1
1,146,0.3
1,147,0.35
1,148,0.25
1,149,0.15
1,150,0.25
1,151,0.15
1,152,0.2
1,153,0.25
1,154,0.2
1,155,0.25
1,156,0.1
1,157,0.15
1,158,0.05
1,159,0.15
1,160,0.25
1,161,0.35
1,162,0.25
1,163,0.15
1,164,0.3
1,165,0.15
1,166,0.2
1,167,0.1
1,168,0.25
1,169,0.25
1,170,0.2
1,171,0.2
1,172,0.2
1,173,0.25
1,174,0.25
1,175,0.35
1,176,0.55
1,177,0.1
1,178,0.3
1,179,0.25
1,180,0.45
1,181,0.35
1,182,0.25
1,183,0.4
1,184,0.25
1,185,0.35
1,186,0.25
1,187,0.2
1,188,0.0
1,189,0.3
1,190,0.15
1,191,0.15
1,192,0.25
1,193,0.15
1,194,0.35
1,195,0.2
1,196,0.15
1,197,0.2
1,198,0.25
1,199,0.2
