income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
7.0,8.0,1.0,2.0,80.0,85.0,3.350083890187392
9.0,10.0,13.0,14.0,20.0,25.0,1179.8406695713168
6.0,7.0,10.0,11.0,15.0,20.0,155.52308573348117
10.0,11.0,14.0,15.0,90.0,95.0,18.11536322176051
5.0,6.0,4.0,5.0,65.0,70.0,8.40995937625956
8.0,9.0,15.0,16.0,30.0,35.0,25.38845712651383
10.0,11.0,5.0,6.0,60.0,65.0,75.18413789642726
6.0,7.0,10.0,11.0,40.0,45.0,14.973061128931802
0.0,1.0,3.0,4.0,70.0,75.0,12.644272738753079
10.0,11.0,10.0,11.0,65.0,70.0,184.2970661323348
7.0,8.0,10.0,11.0,90.0,95.0,4.27650024576524
10.0,11.0,14.0,15.0,40.0,45.0,966.5645118631762
10.0,11.0,16.0,17.000000100000001,30.0,35.0,207.89709185573508
5.0,6.0,12.0,13.0,25.0,30.0,1.8243249937197539
8.0,9.0,7.0,8.0,80.0,85.0,42.90675684471594
9.0,10.0,11.0,12.0,65.0,70.0,359.92057204978136
7.0,8.0,14.0,15.0,85.0,90.0,-3.0154181465781456
0.0,1.0,2.0,3.0,75.0,80.0,8.977941031860423
6.0,7.0,14.0,15.0,50.0,55.0,18.752939482638673
0.0,1.0,2.0,3.0,90.0,95.0,10.738327843058498
10.0,11.0,10.0,11.0,45.0,50.0,756.2611362384004
4.0,5.0,12.0,13.0,30.0,35.0,1.6126059164303372
1.0,2.0,11.0,12.0,45.0,50.0,0.7344387271326083
11.0,12.000000099999999,2.0,3.0,45.0,50.0,2.935493875196828
6.0,7.0,9.0,10.0,30.0,35.0,52.97700251897291
8.0,9.0,2.0,3.0,75.0,80.0,41.24924221644786
10.0,11.0,11.0,12.0,70.0,75.0,364.0651529426291
9.0,10.0,10.0,11.0,25.0,30.0,318.3355372820781
11.0,12.000000099999999,16.0,17.000000100000001,75.0,80.0,39.534889968664345
7.0,8.0,4.0,5.0,55.0,60.0,3.6447993586023344
11.0,12.000000099999999,2.0,3.0,60.0,65.0,2.4179598978631174
11.0,12.000000099999999,9.0,10.0,65.0,70.0,131.87712348483703
5.0,6.0,4.0,5.0,20.0,25.0,6.06559481357509
6.0,7.0,10.0,11.0,60.0,65.0,2.443074807294125
7.0,8.0,9.0,10.0,80.0,85.0,69.55874911685858
8.0,9.0,2.0,3.0,40.0,45.0,29.69584885777393
11.0,12.000000099999999,13.0,14.0,70.0,75.0,183.08875239749173
5.0,6.0,12.0,13.0,40.0,45.0,-0.8204090186499293
5.0,6.0,2.0,3.0,40.0,45.0,1.4047016806101427
11.0,12.000000099999999,1.0,2.0,50.0,55.0,4.191018189462071
6.0,7.0,7.0,8.0,45.0,50.0,4.052531693947419
5.0,6.0,14.0,15.0,20.0,25.0,-0.57363775187636
10.0,11.0,5.0,6.0,25.0,30.0,53.626334956957685
11.0,12.000000099999999,13.0,14.0,35.0,40.0,2034.4693307618975
8.0,9.0,3.0,4.0,80.0,85.0,52.17549372052767
7.0,8.0,1.0,2.0,85.0,90.0,5.77920261107516
5.0,6.0,11.0,12.0,55.0,60.0,9.966975554055194
9.0,10.0,2.0,3.0,90.0,95.0,17.702584703326693
4.0,5.0,10.0,11.0,40.0,45.0,-2.6117959694827984
0.0,1.0,7.0,8.0,45.0,50.0,30.468097500071995
10.0,11.0,7.0,8.0,60.0,65.0,83.08310324051699
10.0,11.0,7.0,8.0,15.0,20.0,19.638249647314893
9.0,10.0,14.0,15.0,50.0,55.0,237.7258880941885
6.0,7.0,7.0,8.0,15.0,20.0,127.8257028191748
11.0,12.000000099999999,10.0,11.0,45.0,50.0,177.54264276865695
6.0,7.0,9.0,10.0,55.0,60.0,40.57306279057423
7.0,8.0,5.0,6.0,75.0,80.0,8.553716319613269
11.0,12.000000099999999,6.0,7.0,70.0,75.0,12.961463410797808
7.0,8.0,12.0,13.0,45.0,50.0,20.757112183313307
5.0,6.0,5.0,6.0,20.0,25.0,1.468938226589133
10.0,11.0,12.0,13.0,70.0,75.0,162.38751404494883
4.0,5.0,13.0,14.0,55.0,60.0,3.328746683845396
6.0,7.0,7.0,8.0,70.0,75.0,2.650559774561418
10.0,11.0,5.0,6.0,50.0,55.0,80.31547148704652
4.0,5.0,4.0,5.0,30.0,35.0,5.269187465979703
3.0,4.0,10.0,11.0,50.0,55.0,4.707430234210334
8.0,9.0,15.0,16.0,65.0,70.0,6.71939350355628
6.0,7.0,3.0,4.0,30.0,35.0,0.42412172073764853
9.0,10.0,9.0,10.0,60.0,65.0,1158.2283685201633
5.0,6.0,11.0,12.0,30.0,35.0,23.883441843265246
0.0,1.0,8.0,9.0,35.0,40.0,90.56770289600993
10.0,11.0,1.0,2.0,45.0,50.0,47.24541157152731
9.0,10.0,14.0,15.0,25.0,30.0,324.7584295044713
