income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
7.0,8.0,1.0,2.0,80.0,85.0,5
9.0,10.0,13.0,14.0,20.0,25.0,1178
6.0,7.0,10.0,11.0,15.0,20.0,154
10.0,11.0,14.0,15.0,90.0,95.0,27
5.0,6.0,4.0,5.0,65.0,70.0,3
8.0,9.0,15.0,16.0,30.0,35.0,27
10.0,11.0,5.0,6.0,60.0,65.0,76
6.0,7.0,10.0,11.0,40.0,45.0,15
0.0,1.0,3.0,4.0,70.0,75.0,14
10.0,11.0,10.0,11.0,65.0,70.0,183
7.0,8.0,10.0,11.0,90.0,95.0,3
10.0,11.0,14.0,15.0,40.0,45.0,967
10.0,11.0,16.0,17.000000100000001,30.0,35.0,213
5.0,6.0,12.0,13.0,25.0,30.0,2
8.0,9.0,7.0,8.0,80.0,85.0,42
9.0,10.0,11.0,12.0,65.0,70.0,360
7.0,8.0,14.0,15.0,85.0,90.0,1
0.0,1.0,2.0,3.0,75.0,80.0,11
6.0,7.0,14.0,15.0,50.0,55.0,12
0.0,1.0,2.0,3.0,90.0,95.0,6
10.0,11.0,10.0,11.0,45.0,50.0,756
4.0,5.0,12.0,13.0,30.0,35.0,3
1.0,2.0,11.0,12.0,45.0,50.0,2
11.0,12.000000099999999,2.0,3.0,45.0,50.0,4
6.0,7.0,9.0,10.0,30.0,35.0,53
8.0,9.0,2.0,3.0,75.0,80.0,44
10.0,11.0,11.0,12.0,70.0,75.0,365
9.0,10.0,10.0,11.0,25.0,30.0,319
11.0,12.000000099999999,16.0,17.000000100000001,75.0,80.0,38
7.0,8.0,4.0,5.0,55.0,60.0,10
11.0,12.000000099999999,2.0,3.0,60.0,65.0,2
11.0,12.000000099999999,9.0,10.0,65.0,70.0,128
5.0,6.0,4.0,5.0,20.0,25.0,6
6.0,7.0,10.0,11.0,60.0,65.0,4
7.0,8.0,9.0,10.0,80.0,85.0,65
8.0,9.0,2.0,3.0,40.0,45.0,30
